,Title,Published_date,Views,Likes,Comments,Month
0,Getting Girls Number With A Flip Phone PART 3,2023-12-22,1688198,109756,4601,Dec
1,We Threw A Halloween Party,2023-11-04,1633139,73862,2388,Nov
2,I Bought A RARE Hellcat Redeye! The Black Ghost,2023-09-26,2690422,186771,7551,Sep
3,24 Hours In LONDON...,2023-09-17,717844,67882,1996,Sep
4,Bowling At 3am,2023-08-10,2857193,120187,4199,Aug
5,I Threw A Pool Party At The AMP HOUSE,2023-06-14,6321989,230192,6944,Jun
6,48 Hours In MIAMI...AGAIN,2023-05-31,2676718,93247,2952,May
7,DEEBLOCK HOOD VLOG,2023-05-24,2282665,131916,2182,May
8,24 Hours in Kansas City FT AMP & RDC,2023-05-02,1313472,55367,1434,May
9,DEEBLOCK PUBLIC SLAMBALL TOURNAMENT!,2023-04-13,2373175,62950,3083,Apr
10,48 Hours In Mardi Gras,2023-03-06,1597577,60432,2341,Mar
11,Surprising Kai Cenat In LA,2023-02-28,1585510,71291,1099,Feb
12,Becoming A Rapper And Making A Song,2023-02-07,1074758,96940,4002,Feb
13,Duke Dennis Staring In: The Grinch,2022-12-30,363749,16003,699,Dec
14,Paintball At The AMP House...,2022-12-16,1002389,36973,925,Dec
15,Pressed By A Couple While Snowboarding,2022-11-29,875816,59927,7256,Nov
16,Halloween At 3am,2022-11-01,1007276,47494,1367,Nov
17,DeeBlock Paintball,2022-10-16,561260,26384,775,Oct
18,24 Hours In New York,2022-09-25,1332597,60245,2213,Sep
19,Working At A Sea Food Restaurant,2022-08-22,617852,39298,1222,Aug
20,DEEBLOCK SLAMBALL 2V2 TOURNAMENT,2022-08-12,1087761,45179,1227,Aug
21,Parkour At The AMP HOUSE,2022-07-27,1870274,93731,3101,Jul
22,Went To My First Rod Wave Concert,2022-07-07,1787724,82017,3239,Jul
23,FIRST 24 Hours In The NEW AMP HOUSE,2022-06-30,1363648,79067,2683,Jun
24,Getting Girls Number With A Flip Phone PART 2,2022-06-01,3531778,124403,3984,Jun
25,Kicked Out The AMP House...,2022-05-19,1532093,69819,2538,May
26,Went To A RACIST RESTURANT,2022-05-08,2046087,108281,3492,May
27,DEEBLOCK SLAMBALL,2022-04-21,2056737,79182,2089,Apr
28,Went To Waffle House At 3am,2022-04-05,1458453,68983,2334,Apr
29,48 Hours In MIAMI PART 2,2022-03-26,3685434,115939,4487,Mar
30,Getting Girls Number With A Flip Phone In Miami,2022-03-22,2865680,137215,3055,Mar
31,24 Hours In Miami,2022-03-18,2106968,111873,3590,Mar
32,Professional Skateboarding For 24 Hours,2022-03-07,1042369,51911,2906,Mar
33,The Perfect AMP LA Trip,2022-02-21,405755,18604,614,Feb
34,Accepting Valentines Day Applications,2022-02-17,968205,46437,3015,Feb
35,Went To The Gas Station At 3am,2022-02-10,1433582,66180,2089,Feb
36,Hired An NBA Trainer,2022-02-02,588985,47684,1196,Feb
37,Winter Camping In A Snow Storm With My Jeep Wrangler,2022-01-20,540338,33558,1283,Jan
38,AMP And DeeBlock Drives My NEW Hellcat Jeep Wrangler,2022-01-13,674237,40778,1861,Jan
39,I BOUGHT A HELLCAT JEEP WRANGLER,2022-01-07,949227,51161,2122,Jan
40,Late Night Freestyle w/AMP PART 2...,2021-12-31,786878,59842,2519,Dec
41,I Bought My Mama A House,2021-12-26,1702897,89560,2859,Dec
42,He Walked In On US In His Room...,2021-12-23,2113069,80467,2128,Dec
43,Late Night Freestyle w/AMP,2021-12-19,967583,40756,1783,Dec
44,Solo Camping In My Jeep Wrangler,2021-12-13,498108,41414,1416,Dec
45,I Found Out My Sneakers Are Fake AGAIN...,2021-12-10,966533,37538,1187,Dec
46,Learning Gymnastics In 24 Hours,2021-12-08,875334,68417,899,Dec
47,Living In My Jeep For 24 HOURS,2021-11-27,1734287,76774,1660,Nov
48,"My $30,000 Sneaker Collection",2021-11-17,1406800,58109,2051,Nov
49,Learned How To Play Guitar In 24 Hours,2021-11-12,358284,43369,1239,Nov
50,Halloween On DEEBLOCK! HOOD VLOG!,2021-11-02,326863,17857,1015,Nov
51,SCARING AMP MEMBERS FOR HALLOWEEN,2021-10-28,778867,47917,1350,Oct
52,I FINALLY Found My DREAM SHOE,2021-10-22,873766,54367,1010,Oct
53,Duke Dennis Crazy Chase Down Block Against Trash Talkers! 5v5 Basketball! HOOD VLOG,2021-10-20,313343,17950,546,Oct
54,AMP GOES TO SNEAKER CON,2021-10-15,674845,45865,1367,Oct
55,I Drove A HELLCAT SRT For The First Time...,2021-09-06,1260871,125471,3778,Sep
56,Bringing Deeblock To The AMP House,2021-09-01,1212331,64526,1235,Sep
57,Hood Vlog: Crate Challenge,2021-08-27,661200,43922,1713,Aug
58,How The AMP House Almost Caught On FIRE...,2021-08-06,646082,47212,2337,Aug
59,Doing Parkour In The AMP HOUSE,2021-07-21,1046710,95136,3126,Jul
60,My Life At The AMP HOUSE...,2021-07-14,712056,55226,1964,Jul
61,I Burned Kai $1600 Sneakers At The AMP HOUSE (Prank),2021-07-11,2800505,123965,6277,Jul
62,The Reason I Almost Got Arrested...,2021-07-09,515248,29565,861,Jul
63,A Subscriber Gave Me FAKE SNEAKERS Smh....,2021-07-08,728203,41091,1637,Jul
64,A Subscriber SURPRISED Me With My DREAM SHOE!,2021-07-05,316311,31443,1405,Jul
65,AMP Goes Sneaker Shopping,2021-06-29,3193502,99831,1788,Jun
66,I Spent 4 Days In LA With AMP And RDC...,2021-06-25,658813,27977,568,Jun
67,Duke Dennis And Adin Ross Meet For The First Time Ft AMP,2021-06-19,1466829,58645,925,Jun
68,Went Back To My Hood And Gave Away A PS5 To A Kid! First Time Back In DeeBlock! HOOD VLOG,2021-06-11,158388,11522,526,Jun
69,Duke Dennis Does 1on1s Vs Trash Talkers and AMP MEMBERS,2021-06-03,504856,27645,970,Jun
70,Duke Dennis Hits Game Winner Against Trash Talkers! 5v5 Basketball! HOOD VLOG,2021-05-28,460523,17059,612,May
71,Hood Vlog! 1st DeeBlock Block Party Of The Summer!,2021-05-24,1174111,33373,1111,May
72,DeeBlock SLAMBALL DUNK CONTEST Ft AMP,2021-05-19,316868,23232,542,May
73,Duke Dennis Plays GTA RP With AMP In GRIZZLEY WORLD For The First Time...,2021-05-17,1926041,39189,827,May
74,Duke Dennis Plays RESIDENT EVIL For The First Time.....HE WAS SO SCARED,2021-05-11,163032,8807,345,May
75,Eat A Mayonnaise Sandwich And Win $100...,2021-05-08,262368,23267,1186,May
76,Duke Dennis REACTS To ZIAS And ADIN ROSS Sister... SMH ZIAS WENT BALLISTICS,2021-05-01,426254,27112,1142,May
77,Duke Dennis REACTS To ADIN ROSS And ZIAS......Also YourRage Keeps calling me,2021-04-21,2014286,76188,3417,Apr
78,Duke Dennis expose TRASH TALKERS In Someone Else HOOD! 5v5 Basketball! HOOD VLOG,2021-04-21,207808,15465,610,Apr
79,Police Officer Explains To Duke Dennis WHY HE WAS BANNED FROM DEEBLOCK!,2021-04-08,391911,22534,1218,Apr
80,Duke Dennis REACTS TO Adin and Foolio,2021-04-05,329516,15034,919,Apr
81,Duke Dennis NEW JEEP WRANGLER Set Up! NEW PANORAMIC ROOF.... FEAT AMP,2021-04-02,300183,19777,1464,Apr
82,DeeBlock Goes To MIAMI PART 2! Spring Break!,2021-03-31,526788,30915,1240,Mar
83,DeeBlock Goes To MIAMI (Spring Break Edition) Part 1,2021-03-27,1149260,61400,1918,Mar
84,Flight Been Feeling PAIN FOR SO LONG....... Flight Is A 38 Overall When It Comes To Choosing Girls,2021-03-25,304633,10960,470,Mar
85,Duke Dennis EXPOSED For Liking MEN...,2021-03-16,286039,16071,1536,Mar
86,"AMP And RDC Goes To OPEN GYM And GOES CRAZY! Duke Dennis, Mark Phillips, Agent 00 AND MORE",2021-03-11,259378,13242,653,Mar
87,Duke Dennis Gets BANNED From DEEBLOCK.....Police Made Me Leave! HOOD VLOG,2021-03-02,654478,32439,2555,Mar
88,"Duke Dennis Plays GTA RP, Links Up With YourRage After Getting Jumped By ADIN, BRONNY and SSB!",2021-02-24,1387073,43332,1441,Feb
89,Duke Dennis Buys A DIAMOND GRILL! ALL VVS,2021-02-20,504841,28555,2215,Feb
90,Duke Dennis DUNKS On TRASH TALKER During Open Gym! HOOD VLOG!,2021-02-17,492486,19464,1112,Feb
91,Duke Dennis Plays GTA RP For The FIRST TIME With AMP.........And ADIN!,2021-02-15,842759,32035,1612,Feb
92,"Duke Dennis Reacts To FlightReacts getting ""EXPOSED"" smh",2021-02-10,87322,7190,405,Feb
93,Duke Dennis Reacts To Flight - Muggin (Official Music Video),2021-02-01,320060,13409,469,Feb
94,Duke Dennis Reacts to Solluminati going BALD,2021-01-30,238010,12480,715,Jan
95,I Went SNOWBOARDING On The HIGHEST NC Mountain And Fell 50 Times! HOOD VLOG!,2021-01-13,83252,9073,414,Jan
96,THEY PUT CASHNASTY AND KENNY OVER ME? OFFICIAL 2020 YOUTUBE HOOPER RANKINGS! Top 25 LIST!,2021-01-04,76465,4464,780,Jan
97,Duke Dennis REACTS To Why Mopi Left 2HYPE!,2021-01-03,120238,5088,544,Jan
98,Hood Vlog! Christmas On DeeBlock!,2021-01-02,80463,4905,308,Jan
99,Duke Dennis OFFICIAL SHOE COLLECTION (Beginners) 2020!,2020-12-26,202760,13477,493,Dec
100,I WAS SO MAD! Duke Dennis REACTS To Last Female To Get Knocked Out In The Hood Wins IPHONE MAX PRO!,2020-12-20,223091,8582,554,Dec
101,Duke Dennis almost got dunked on!! Open Gym HOOD VLOG! First Time HOOPING IN MONTHS!,2020-12-19,195421,8080,542,Dec
102,I Went To My Hood To Give A Kid A FREE XBOX SERIES X For Christmas! HOOD VLOG!,2020-12-15,291904,17157,924,Dec
103,Duke Dennis REACTING TO Girls Rating AMP MEMBERS!,2020-12-11,1667205,59317,2880,Dec
104,Duke Dennis OFFICIAL Durag Collection (Beginners),2020-12-09,180945,13422,2316,Dec
105,Duke Dennis REACTS To An OLD HEAD EXPOSING HIM!!!,2020-12-06,211616,12108,2049,Dec
106,Duke Dennis REACTS To IMDAVISSS Disappointing ALL OF AMP...,2020-12-05,136177,7180,774,Dec
107,Duke Dennis REACTS To FLIGHTREACTS Hiring ANOTHER NBA TRAINER For  MARCH 2021...,2020-12-03,85627,8678,520,Dec
108,Duke Dennis REACTS To A YOUTUBER Saying He SMASHED His Girl!,2020-12-02,273852,15649,2160,Dec
109,Duke Dennis REACTS To GIRLS Rating AMP MEMBERS!,2020-11-28,276911,16559,1746,Nov
110,Duke Dennis PLAYSTATION 5 Unboxing!,2020-11-14,120343,7816,474,Nov
111,Duke Dennis REACTS To AMP 1V1 BASKETBALL TOURNAMENT! DID I DUNK ON CHRIS,2020-11-13,321389,4792,347,Nov
112,Hood Vlog! We Went To DeeBlock Dressed Up As Pennywise (IT) Michael Myers And Freddy VS Jason!,2020-11-09,592078,11384,424,Nov
113,Duke Dennis REACTS To AMP ROYAL RUMBLE! I picked up AGENT 00,2020-11-07,198796,7668,414,Nov
114,Duke Dennis REACTS TO The Rise Of Duke Dennis Aka Durag Duke (EMOTIONAL),2020-11-05,910078,40443,1601,Nov
115,Duke Dennis REACTS To The NEW NBA 2K21: Welcome to The City Trailer! NEW HAIRSTYLES AND PARK!,2020-11-04,105350,5347,451,Nov
116,We Went To A HAUNTED CAR WASH!,2020-11-03,79502,3682,280,Nov
